Report Type : StationReport,,,,,,,,,
Date,Time,Trace SO2,Trace NO,Trace NOy,Trace NOy-NO,WAQA_CO,O3,BAM_PM25,NO2_CAPS
,,ppb,ppb,ppb,ppb,ppm,ppm,ug/m^3,ppb
5/1/18,12:00 AM,0.34,1.9,14.1,12.1,,0.024,,14.351
5/2/18,12:00 AM,0.49,6.7,22.5,15.6,,0.021,,14.983
5/3/18,12:00 AM,0.52,6.6,16.8,10.1,,0.025,,8.318
5/4/18,12:00 AM,0.33,0.8,5.6,4.7,,0.033,,5.072
5/5/18,12:00 AM,0.56,1.6,12.2,10.5,,0.023,,10.622
5/6/18,12:00 AM,0.46,1.8,12.4,10.5,,0.026,,10.416
5/7/18,12:00 AM,0.3,1.4,11.1,9.6,,0.026,,10.544
5/8/18,12:00 AM,0.57,8.8,22,13,,0.02,,12.826
5/9/18,12:00 AM,0.32,0.4,4,3.5,,0.038,,3.812
5/10/18,12:00 AM,0.25,0.7,5.3,4.5,,0.037,,4.928
5/11/18,12:00 AM,0.32,2.2,13.4,11.1,,0.026,,11.092
5/12/18,12:00 AM,0.33,0.8,6.5,5.6,,0.026,,5.389
5/13/18,12:00 AM,0.53,2.5,17.6,14.9,,0.022,,14.989
5/14/18,12:00 AM,0.96,10.3,33,22.6,,0.023,,21.707
5/15/18,12:00 AM,0.3,0.6,6.7,6,,0.024,,6.055
5/16/18,12:00 AM,0.26,0.7,3.4,2.6,,0.026,,2.863
5/17/18,12:00 AM,0.29,0.5,4.3,3.7,,0.025,,4.064
5/18/18,12:00 AM,0.81,7.5,22.6,15,,0.012,,15.929
5/19/18,12:00 AM,2.5,13.3,31.9,18.5,,,,19.181
5/20/18,12:00 AM,0.32,0.4,4.5,4,,,,4.919
5/21/18,12:00 AM,0.35,1.7,8.2,6.4,,,,6.881
5/22/18,12:00 AM,0.51,3.1,13.4,10.2,,0.029,,10.709
5/23/18,12:00 AM,0.55,6.3,19.4,13,,0.026,,13.551
5/24/18,12:00 AM,0.31,1.2,7,5.7,,0.022,,5.743
5/25/18,12:00 AM,0.34,1.6,8.5,6.9,,0.028,,7.143
5/26/18,12:00 AM,0.31,0.5,6.8,6.2,,0.031,,6.14
5/27/18,12:00 AM,0.33,1.2,8.1,6.7,,0.034,,6.51
5/28/18,12:00 AM,0.34,1.3,5.7,4.2,,0.031,,3.953
5/29/18,12:00 AM,0.38,1.1,7.6,6.4,,0.028,,6.259
5/30/18,12:00 AM,0.35,1.4,6.7,5.2,,0.027,,5.086
5/31/18,12:00 AM,0.37,1.3,7.1,5.7,,0.026,,5.645
6/1/18,12:00 AM,0.3,0.6,5.6,5,,0.03,,5.467
6/2/18,12:00 AM,0.58,2.6,13.5,10.7,,0.022,,11.377
6/3/18,12:00 AM,0.81,4,14.7,10.6,,0.018,,10.398
6/4/18,12:00 AM,0.27,0.7,6.1,5.3,,0.03,,5.614
6/5/18,12:00 AM,0.38,1.6,8.1,6.5,,0.027,,6.972
6/6/18,12:00 AM,0.45,1.9,11.9,9.9,,0.025,,10.633
6/7/18,12:00 AM,0.33,0.2,3.5,3.2,,0.04,,3.481
6/8/18,12:00 AM,0.37,0.6,8.8,8.1,,0.029,,8.939
6/9/18,12:00 AM,0.33,0.7,5.2,4.4,,0.029,,4.942
6/10/18,12:00 AM,0.28,0.4,3.8,3.3,,0.025,,3.719
6/11/18,12:00 AM,0.44,5.4,16.8,11.3,,0.019,,11.87
6/12/18,12:00 AM,0.48,3.9,17.6,13.3,,0.014,,13.874
6/13/18,12:00 AM,0.37,0.8,5.9,5,,0.023,,5.206
6/14/18,12:00 AM,0.42,2.9,11.6,8.6,,0.018,,9.367
6/15/18,12:00 AM,0.5,2.1,7.7,5.5,,0.023,,5.887
6/16/18,12:00 AM,0.42,0.7,6.8,6,,0.027,,5.688
6/17/18,12:00 AM,0.44,2.4,11.5,9,,0.026,,8.388
6/18/18,12:00 AM,0.64,4.2,13.8,9.5,,0.025,,9.783
6/19/18,12:00 AM,0.62,5.4,19,13.5,,0.019,,14.366
6/20/18,12:00 AM,1.03,20,41,20.9,,0.012,,22.077
6/21/18,12:00 AM,0.3,0.4,3.3,2.8,,0.021,,2.957
6/22/18,12:00 AM,0.31,0.7,4.3,3.5,,0.017,,3.826
6/23/18,12:00 AM,0.33,2.4,9.3,6.7,,0.017,,7.267
6/24/18,12:00 AM,0.45,3.4,10.8,7.3,,,,7.494
6/25/18,12:00 AM,0.48,0.9,7.8,6.8,,0.024,,8.037
6/26/18,12:00 AM,0.32,1.3,7.1,5.7,,0.026,,6.158
6/27/18,12:00 AM,0.57,2.7,8.6,5.8,,0.022,,6.033
6/28/18,12:00 AM,0.42,1.6,8.9,7.1,,0.022,,7.519
6/29/18,12:00 AM,0.5,2,10.8,8.7,,0.021,,8.768
6/30/18,12:00 AM,0.79,2.6,9.3,6.6,,0.015,,7.451
7/1/18,12:00 AM,0.29,0.3,2.5,2,,0.022,,2.408
7/2/18,12:00 AM,0.31,0.9,6.2,5.2,,0.024,,5.473
7/3/18,12:00 AM,0.56,3.9,13.9,9.9,,0.02,,
7/4/18,12:00 AM,0.81,2,12.5,10.4,,0.019,,
7/5/18,12:00 AM,0.69,3.8,12.6,8.7,,0.024,,
7/6/18,12:00 AM,0.42,1.3,5.2,3.9,,0.014,,4.487
7/7/18,12:00 AM,0.34,0.4,4.3,3.7,,0.021,,4.152
7/8/18,12:00 AM,0.58,3.3,14.6,11.3,,0.017,,12.227
7/9/18,12:00 AM,0.48,1,6.5,5.4,,0.021,,5.628
7/10/18,12:00 AM,0.34,1.2,5.9,4.7,,0.021,,4.874
7/11/18,12:00 AM,0.49,1.9,8.9,6.9,,0.023,,6.85
7/12/18,12:00 AM,0.63,8.7,19.2,10.5,,0.02,,10.346
7/13/18,12:00 AM,1.53,8.8,23.3,14.5,,0.02,,14.978
7/14/18,12:00 AM,1.78,9.5,25,15.4,,0.022,,15.307
7/15/18,12:00 AM,0.8,6,20.2,14.1,,0.031,,13.563
7/16/18,12:00 AM,0.77,12.2,33.3,21,,0.02,,21.482
7/17/18,12:00 AM,0.63,2.9,13.7,10.7,,0.021,,9.923
7/18/18,12:00 AM,0.46,1.7,8.3,6.5,,0.016,,6.571
7/19/18,12:00 AM,0.38,1.5,7.4,5.8,,0.015,,5.942
7/20/18,12:00 AM,0.48,1.1,7.5,6.3,,0.022,,6.049
7/21/18,12:00 AM,0.47,1.9,7.8,5.8,,0.022,,5.621
7/22/18,12:00 AM,0.63,2.5,10.4,7.7,,0.027,,7.256
7/23/18,12:00 AM,1.04,16.4,29.9,13.5,,0.022,,14.66
7/24/18,12:00 AM,1.05,18,35.3,17.2,,0.019,,17.38
7/25/18,12:00 AM,1.25,21.6,44.3,22.6,,0.02,,22.864
7/26/18,12:00 AM,1.43,17.9,41.7,23.7,,0.021,,24.297
7/27/18,12:00 AM,1.46,6.7,24.1,17.3,,0.015,,17.79
7/28/18,12:00 AM,1.13,7.4,20.8,13.3,,0.014,,14.608
7/29/18,12:00 AM,1.53,19.6,38.5,18.8,,0.02,,18.761
7/30/18,12:00 AM,1.38,12.5,33.3,20.7,,0.021,,21.628
7/31/18,12:00 AM,0.46,0.6,3.9,3.2,,0.022,,3.049
8/1/18,12:00 AM,0.43,0.7,4.2,3.4,,0.016,,3.53
8/2/18,12:00 AM,0.37,0.9,4.6,3.6,,0.012,,3.693
8/3/18,12:00 AM,0.48,3.3,9.3,5.9,,0.012,,6.318
8/4/18,12:00 AM,0.56,5.4,15.5,10.1,,0.011,,10.564
8/5/18,12:00 AM,1.08,15.5,32.8,17.3,,0.012,,18.074
8/6/18,12:00 AM,1.05,16.7,28.7,11.9,,0.014,,11.692
8/7/18,12:00 AM,0.81,9.7,24.7,15,,0.022,,15.217
8/8/18,12:00 AM,1.21,13.8,36.7,22.8,,0.016,,23.208
8/9/18,12:00 AM,1.17,6.3,21.1,14.7,,0.02,,14.313
8/10/18,12:00 AM,0.93,12.6,20,7.3,,0.012,,7.47
8/11/18,12:00 AM,0.42,0.5,2.7,2.2,,0.014,,2.337
8/12/18,12:00 AM,0.49,1.5,7.5,6,,0.013,,6.265
8/13/18,12:00 AM,0.8,3.3,13.1,9.7,,0.013,,9.899
8/14/18,12:00 AM,0.99,2.5,21,18.4,,0.021,,18.474
8/15/18,12:00 AM,1.27,13.4,43.1,29.7,,0.015,,31.307
8/16/18,12:00 AM,0.69,5.8,22.5,16.7,,0.009,,16.773
8/17/18,12:00 AM,0.66,5.1,20.1,14.9,,0.018,,14.245
8/18/18,12:00 AM,,9.2,32.2,22.9,,0.013,,23.421
8/19/18,12:00 AM,,12.7,36.3,23.5,,0.012,,23.7
8/20/18,12:00 AM,,18.6,36.2,17.5,,0.04,,15.875
8/21/18,12:00 AM,0.85,6.2,33,26.7,,0.019,,27.126
8/22/18,12:00 AM,1.6,19.9,56.4,36.4,,0.021,,38.476
8/23/18,12:00 AM,0.49,0.4,4.1,3.7,,0.021,,3.526
8/24/18,12:00 AM,0.45,0.2,4.3,4,,0.026,,3.525
8/25/18,12:00 AM,0.51,2.1,11.6,9.4,,0.017,,9.359
8/26/18,12:00 AM,0.48,0.6,9.1,8.3,,0.013,,8.178
8/27/18,12:00 AM,0.64,1.7,13.2,11.4,,0.017,,11.207
8/28/18,12:00 AM,0.75,11.2,30.2,18.9,,0.014,,18.922
8/29/18,12:00 AM,0.9,7,20.9,13.8,,0.016,,13.027
8/30/18,12:00 AM,0.59,1.7,6.9,5.1,,0.016,,5.282
8/31/18,12:00 AM,0.49,0.7,4.8,4.1,,0.019,,4.255
9/1/18,12:00 AM,,1.7,7.9,6,,0.022,,5.946
9/2/18,12:00 AM,,2.2,8.5,6.2,,0.022,,5.752
9/3/18,12:00 AM,,1.3,6.1,4.7,,0.022,,4.725
9/4/18,12:00 AM,,2,9.6,7.5,,0.026,,7.27
9/5/18,12:00 AM,0.89,3.3,18.2,14.8,,0.025,,14.306
9/6/18,12:00 AM,1.52,14.2,39.8,25.5,,0.017,,23.323
9/7/18,12:00 AM,0.69,2.5,12.8,10.3,,0.015,,9.664
9/8/18,12:00 AM,,0.5,5.5,4.9,,0.019,,4.979
9/9/18,12:00 AM,,0.8,5.9,5,,0.022,,4.864
9/10/18,12:00 AM,,0.7,5.7,4.9,,0.021,,5.505
9/11/18,12:00 AM,0.57,0.9,8.2,7.2,,0.019,,7.771
9/12/18,12:00 AM,0.53,0.9,8.7,7.7,,0.018,,8.922
9/13/18,12:00 AM,0.67,3.6,13.1,9.4,,0.013,,10.036
9/14/18,12:00 AM,0.51,1.4,10.4,8.9,,0.015,,8.848
9/15/18,12:00 AM,0.54,1.4,8.5,7.1,,0.014,,7.326
9/16/18,12:00 AM,0.46,0.4,4.9,4.3,,0.022,,4.705
9/17/18,12:00 AM,0.52,1.8,10.7,8.9,,0.017,,
9/18/18,12:00 AM,0.55,1.5,9.6,8.1,,0.021,,
9/19/18,12:00 AM,0.8,6.3,16.8,10.2,,0.015,,10.906
9/20/18,12:00 AM,0.48,1,6.3,5.2,,0.019,,5.871
9/21/18,12:00 AM,0.72,2.5,13,10.3,,0.011,,10.021
9/22/18,12:00 AM,0.49,0.3,4.3,3.9,,0.022,,4.234
9/23/18,12:00 AM,0.54,0.9,6.7,5.7,,0.02,,5.911
9/24/18,12:00 AM,0.64,4.7,13.7,8.9,,0.015,,8.927
9/25/18,12:00 AM,0.63,2.7,11.5,8.7,,0.013,,8.698
9/26/18,12:00 AM,0.58,3.1,13.4,10.2,,0.01,,10.293
9/27/18,12:00 AM,0.74,3,12.9,9.8,,0.015,,9.599
9/28/18,12:00 AM,0.79,3.8,16.8,12.9,,0.014,,13.211
9/29/18,12:00 AM,1.09,8.4,21.4,12.9,,0.014,,13.174
9/30/18,12:00 AM,0.65,1.9,10.4,8.4,,0.011,,8.697
10/1/18,12:00 AM,0.54,1.1,9.2,7.9,,0.015,,8.772
10/2/18,12:00 AM,0.5,0.6,5.6,5,,0.022,,5.555
10/3/18,12:00 AM,0.59,3.9,13.6,9.6,,0.01,,9.973
10/4/18,12:00 AM,0.93,4.8,19.4,14.5,,0.009,,14.973
10/5/18,12:00 AM,0.56,2.9,12.9,10,,0.012,,10.406
10/6/18,12:00 AM,0.52,1.2,7.8,6.5,,0.014,,6.524
10/7/18,12:00 AM,0.57,1.8,10,8.2,,0.01,,8.506
10/8/18,12:00 AM,0.9,16.4,34,17.4,,0.001,,18.198
10/9/18,12:00 AM,0.62,5.1,13.6,8.5,,0.012,,9.142
10/10/18,12:00 AM,1.15,21,35.1,14,,0.004,,14.127
10/11/18,12:00 AM,0.79,10.3,24.3,13.9,,0.003,,13.618
10/12/18,12:00 AM,0.96,12.9,25.8,12.8,,0.006,,12.984
10/13/18,12:00 AM,0.58,0.8,7.3,6.5,,0.017,,6.091
10/14/18,12:00 AM,0.57,3.3,13.7,10.3,,0.012,,10.219
10/15/18,12:00 AM,0.86,6.9,21.6,14.6,,0.006,,15.193
10/16/18,12:00 AM,1.24,16.9,34.8,17.8,,0.003,,19.256
10/17/18,12:00 AM,1.59,43.5,72.6,29,,0.002,,29.474
10/18/18,12:00 AM,1.47,26.5,52.2,25.7,,0.006,,26.401
10/19/18,12:00 AM,1.68,33.1,56.2,23,,0.005,,23.046
10/20/18,12:00 AM,0.52,1.1,10.8,9.7,,0.016,,8.443
10/21/18,12:00 AM,1.08,14.6,30.3,15.6,,0.005,,15.197
10/22/18,12:00 AM,1.79,51.3,73.6,22.3,,0,,22.774
10/23/18,12:00 AM,1.13,26.2,42.9,16.6,,0.005,,17.203
10/24/18,12:00 AM,1.01,5.6,21.4,15.7,,0.01,,17.022
10/25/18,12:00 AM,0.68,4.4,20.6,16.1,,0.008,,17.321
10/26/18,12:00 AM,0.55,0.6,7.2,6.5,,0.022,,7.454
10/27/18,12:00 AM,0.67,2.6,11.6,8.9,,0.009,,12.18
10/28/18,12:00 AM,0.57,0.6,6.4,5.7,,0.027,,6.741
10/29/18,12:00 AM,0.64,1.8,13.9,11.9,,0.015,,12.555
10/30/18,12:00 AM,0.74,3.4,17.8,14.3,,0.009,,15.243
10/31/18,12:00 AM,0.58,0.7,9,8.3,,0.015,,9.162
11/1/18,12:00 AM,0.52,0.2,4.6,4.3,,0.024,,5.069
11/2/18,12:00 AM,0.6,0.2,4.4,4.2,,0.029,,4.747
11/3/18,12:00 AM,0.54,0.4,7.5,7,,,,7.898
11/4/18,12:00 AM,0.52,0.1,2.4,2.3,,,,2.755
11/5/18,12:00 AM,0.52,0.2,5.9,5.6,,,,6.201
11/6/18,12:00 AM,0.59,0.8,11.9,11,,0.02,,11.361
11/7/18,12:00 AM,0.53,1.9,14.6,12.5,,0.011,,12.882
11/8/18,12:00 AM,0.67,9.6,24.1,14.5,,0.003,,14.879
11/9/18,12:00 AM,1.12,26.2,42.7,16.4,,0,,17.434
11/10/18,12:00 AM,0.78,8.8,21.7,12.8,,0.007,,12.643
11/11/18,12:00 AM,0.54,3.1,12,8.8,,0.006,,9.199
11/12/18,12:00 AM,1.48,31.1,53,21.7,,0.009,,21.701
11/13/18,12:00 AM,1.06,7,24.8,17.7,,0.01,,17.885
11/14/18,12:00 AM,0.76,2.3,18.2,15.7,,0.016,,16.142
11/15/18,12:00 AM,0.72,2.4,14.1,11.6,,0.017,,12.342
11/16/18,12:00 AM,0.58,0.7,10,9.2,,0.015,,9.522
11/17/18,12:00 AM,0.55,1.4,9.9,8.4,,0.012,,8.914
11/18/18,12:00 AM,0.74,7.4,22.9,15.4,,0.005,,15.466
11/19/18,12:00 AM,1.78,47.2,68.5,21.1,,0,,21.411
11/20/18,12:00 AM,2.92,87.1,112,24.8,,0,,24.195
11/21/18,12:00 AM,1.39,21,45.1,24,,0.003,,24.728
11/22/18,12:00 AM,0.66,1,8,6.9,,0.021,,7.479
11/23/18,12:00 AM,0.6,0.4,7,6.5,,0.026,,6.908
11/24/18,12:00 AM,0.72,2.1,13.8,11.7,,0.013,,11.836
11/25/18,12:00 AM,0.88,7.5,21.9,14.3,,0.003,,15.336
11/26/18,12:00 AM,0.89,10.2,25.6,15.3,,0.009,,16.337
11/27/18,12:00 AM,0.69,0.7,13.4,10.2,,0.022,,11.475
11/28/18,12:00 AM,0.73,1.6,15.7,13.9,,0.012,,16.431
11/29/18,12:00 AM,0.65,2.6,17.2,12.1,,0.007,,12.708
11/30/18,12:00 AM,0.81,5.4,18.3,12.7,,0.011,,12.856
12/1/18,12:00 AM,0.74,5,20.6,15.5,,,,16.805
12/2/18,12:00 AM,0.64,3.6,18.2,14.5,,,,14.516
12/3/18,12:00 AM,0.56,2.8,12.2,9.3,,,,9.32
12/4/18,12:00 AM,0.55,1.8,15.2,13.3,,0.012,,13.153
12/5/18,12:00 AM,0.65,3,15.8,12.6,,0.014,,12.463
12/6/18,12:00 AM,0.85,4.6,19.4,14.6,,0.017,,16.679
12/7/18,12:00 AM,0.6,2.2,13.6,11.3,,0.02,,11.791
12/8/18,12:00 AM,0.6,2.4,15.8,13.3,,0.015,,12.728
12/9/18,12:00 AM,0.5,0.5,5.7,5.1,,0.022,,5.846
12/10/18,12:00 AM,0.7,2.6,17.6,14.9,,,,15.577
12/11/18,12:00 AM,0.61,0.4,8.5,8,,,,9.967
12/12/18,12:00 AM,0.71,2.6,14.3,11.6,,0.02,,13.018
12/13/18,12:00 AM,0.64,1.5,15,13.3,,0.019,,14.77
12/14/18,12:00 AM,1.01,6.4,16.8,10.3,,0.022,,11.551
12/15/18,12:00 AM,0.6,0.4,6,5.5,,0.029,,5.872
12/16/18,12:00 AM,0.6,0.3,5.1,4.8,,0.027,,5.025
12/17/18,12:00 AM,0.66,1.5,12,10.4,,0.025,,11.246
12/18/18,12:00 AM,0.63,0.2,6.5,6.2,,0.031,,6.904
12/19/18,12:00 AM,0.71,4.8,19.4,14.3,,0.018,,14.665
12/20/18,12:00 AM,,1.8,8,6.1,,0.022,,6.67
12/21/18,12:00 AM,0.67,2.8,18.6,15.8,,0.015,,16.293
12/22/18,12:00 AM,0.65,2.4,13.8,11.3,,0.018,,11.818
12/23/18,12:00 AM,0.62,0.6,9.6,8.8,,0.024,,9.458
12/24/18,12:00 AM,0.55,0.5,6.9,6.3,,0.019,,6.588
12/25/18,12:00 AM,0.67,2.8,13.7,10.7,,0.008,,11.117
