Report Type : StationReport,,,,
Date,Time,NO,NO2,NOX
,,ppb,ppb,ppb
1/1/18,12:00 AM,,,
1/2/18,12:00 AM,,,
1/3/18,12:00 AM,,,
1/4/18,12:00 AM,,,
1/5/18,12:00 AM,,,
1/6/18,12:00 AM,15.2,19.5,34.8
1/7/18,12:00 AM,7.9,18,26
1/8/18,12:00 AM,51.4,23.3,74.8
1/9/18,12:00 AM,22.2,19.9,42.2
1/10/18,12:00 AM,32.1,28.1,60.3
1/11/18,12:00 AM,13.4,19.6,33.1
1/12/18,12:00 AM,23.7,24.5,48.2
1/13/18,12:00 AM,6.6,14.5,21.3
1/14/18,12:00 AM,63.2,19.5,82.7
1/15/18,12:00 AM,99.2,25.2,124.4
1/16/18,12:00 AM,24.8,25.1,50
1/17/18,12:00 AM,56.3,30.1,86.5
1/18/18,12:00 AM,11.8,19.8,31.7
1/19/18,12:00 AM,17.1,21.9,39.2
1/20/18,12:00 AM,7.1,12.5,19.6
1/21/18,12:00 AM,5,8.9,14
1/22/18,12:00 AM,19.1,23.8,42.9
1/23/18,12:00 AM,27.8,23.8,51.6
1/24/18,12:00 AM,10,20.9,31
1/25/18,12:00 AM,18.4,21.1,39.6
1/26/18,12:00 AM,16.8,21.2,38.1
1/27/18,12:00 AM,7.2,11.2,18.5
1/28/18,12:00 AM,5.9,13.9,19.9
1/29/18,12:00 AM,29.2,22.1,51.4
1/30/18,12:00 AM,24.5,26,50.6
1/31/18,12:00 AM,25.7,25.7,51.6
2/1/18,12:00 AM,13.2,21.4,34.7
2/2/18,12:00 AM,26.8,20.5,47.4
2/3/18,12:00 AM,14.8,14.6,29.5
2/4/18,12:00 AM,12.4,13.6,26.1
2/5/18,12:00 AM,26.6,26.4,53.1
2/6/18,12:00 AM,22.7,22.9,45.6
2/7/18,12:00 AM,37.8,23.9,61.7
2/8/18,12:00 AM,24,17.8,41.9
2/9/18,12:00 AM,22.6,20.5,43.2
2/10/18,12:00 AM,9.9,16.4,26.4
2/11/18,12:00 AM,6.9,12.3,19.2
2/12/18,12:00 AM,9.1,18.8,28
2/13/18,12:00 AM,38.4,31.9,70.4
2/14/18,12:00 AM,30.4,27.7,58.1
2/15/18,12:00 AM,29.9,26.6,56.7
2/16/18,12:00 AM,23,25,48.1
2/17/18,12:00 AM,8.8,13.6,22.5
2/18/18,12:00 AM,5.6,10.2,15.9
2/19/18,12:00 AM,10.1,15.2,25.4
2/20/18,12:00 AM,18.9,23,42
2/21/18,12:00 AM,21.6,22.9,44.6
2/22/18,12:00 AM,9.4,14.4,23.9
2/23/18,12:00 AM,13.7,23.1,36.9
2/24/18,12:00 AM,10.8,17.1,28
2/25/18,12:00 AM,6.5,11.3,17.9
2/26/18,12:00 AM,33.5,29.1,62.8
2/27/18,12:00 AM,12.6,18.5,31.2
2/28/18,12:00 AM,14.6,19.8,34.5
3/1/18,12:00 AM,15.9,25.2,41.1
3/2/18,12:00 AM,23.4,23.9,47.4
3/3/18,12:00 AM,7,15.6,22.6
3/4/18,12:00 AM,13.7,19.5,33.3
3/5/18,12:00 AM,24.9,26.9,51.9
3/6/18,12:00 AM,8.9,14.5,23.6
3/7/18,12:00 AM,21.7,23.5,45.3
3/8/18,12:00 AM,24,24.1,48.2
3/9/18,12:00 AM,,,
3/10/18,12:00 AM,,,
3/11/18,12:00 AM,40.8,33.3,74.2
3/12/18,12:00 AM,74,29.6,103.7
3/13/18,12:00 AM,28.3,28.5,56.9
3/14/18,12:00 AM,25.3,24.2,49.6
3/15/18,12:00 AM,25.9,19.6,45.7
3/16/18,12:00 AM,15,18.3,33.4
3/17/18,12:00 AM,16.7,19.6,36.4
3/18/18,12:00 AM,13.3,18.2,31.6
3/19/18,12:00 AM,28.7,24.1,53
3/20/18,12:00 AM,15.4,17.2,32.7
3/21/18,12:00 AM,58.9,36,95
3/22/18,12:00 AM,26.5,28.2,54.8
3/23/18,12:00 AM,15.4,21,36.5
3/24/18,12:00 AM,17.1,19.9,37.1
3/25/18,12:00 AM,11.5,15.7,27.3
3/26/18,12:00 AM,15.8,18.4,34.3
3/27/18,12:00 AM,17.4,19.4,36.9
3/28/18,12:00 AM,10.4,14.3,24.9
3/29/18,12:00 AM,22.9,21.3,44.3
3/30/18,12:00 AM,22,21.1,43.3
3/31/18,12:00 AM,14.9,18.1,33.1
4/1/18,12:00 AM,4.4,9.2,13.7
4/2/18,12:00 AM,17.4,20.4,37.9
4/3/18,12:00 AM,18.7,25.3,44.2
4/4/18,12:00 AM,6.5,16.9,23.5
4/5/18,12:00 AM,34.9,20.8,55.8
4/6/18,12:00 AM,28.7,20.4,49.3
4/7/18,12:00 AM,15.1,17.5,32.7
4/8/18,12:00 AM,5.6,8.1,13.8
4/9/18,12:00 AM,19.7,25.2,45
4/10/18,12:00 AM,22.6,25.1,47.7
4/11/18,12:00 AM,9,17.7,26.8
4/12/18,12:00 AM,21.2,20.5,41.8
4/13/18,12:00 AM,9.2,14.6,23.9
4/14/18,12:00 AM,9.7,17.4,27.2
4/15/18,12:00 AM,4.8,11,15.9
4/16/18,12:00 AM,15.9,21.2,37.2
4/17/18,12:00 AM,20.5,21.1,41.7
4/18/18,12:00 AM,9.4,13.3,22.7
4/19/18,12:00 AM,21.1,20,41.2
4/20/18,12:00 AM,20.3,23.7,44.1
4/21/18,12:00 AM,3.7,10.8,14.7
4/22/18,12:00 AM,2.3,9.2,11.6
4/23/18,12:00 AM,15,19.7,34.8
4/24/18,12:00 AM,22.7,24.4,47.4
4/25/18,12:00 AM,13.5,20.2,33.8
4/26/18,12:00 AM,17.2,25.4,42.7
4/27/18,12:00 AM,23.1,22.4,45.5
4/28/18,12:00 AM,12,15.3,27.3
4/29/18,12:00 AM,10,12.8,22.8
4/30/18,12:00 AM,28,26.9,55
5/1/18,12:00 AM,36.1,29.8,66
5/2/18,12:00 AM,,,
5/3/18,12:00 AM,32.1,21.1,53.3
5/4/18,12:00 AM,21.3,19.3,40.6
5/5/18,12:00 AM,9.8,15.6,25.4
5/6/18,12:00 AM,17.8,21.3,39.2
5/7/18,12:00 AM,26.3,24.3,50.6
5/8/18,12:00 AM,38,24.8,62.9
5/9/18,12:00 AM,20.5,19.6,40.1
5/10/18,12:00 AM,21.6,20.7,42.3
5/11/18,12:00 AM,15.9,17.8,33.8
5/12/18,12:00 AM,6,11.6,17.8
5/13/18,12:00 AM,26.6,30,56.7
5/14/18,12:00 AM,38,35.1,73.1
5/15/18,12:00 AM,22.6,18.2,41
5/16/18,12:00 AM,26.9,17.7,44.7
5/17/18,12:00 AM,25.9,19.6,45.6
5/18/18,12:00 AM,48.3,28,76.4
5/19/18,12:00 AM,47.8,31,78.9
5/20/18,12:00 AM,10.7,14.2,25
5/21/18,12:00 AM,15.9,13.9,29.9
5/22/18,12:00 AM,19,16.4,35.5
5/23/18,12:00 AM,33.7,28.5,62.3
5/24/18,12:00 AM,28.5,18.4,47
5/25/18,12:00 AM,11.5,12.4,23.9
5/26/18,12:00 AM,8.4,12.5,21
5/27/18,12:00 AM,10.6,14.1,24.9
5/28/18,12:00 AM,7.6,8.2,15.9
5/29/18,12:00 AM,13,13.1,26.2
5/30/18,12:00 AM,15.2,13,28.3
5/31/18,12:00 AM,16.6,15.8,32.4
6/1/18,12:00 AM,18.2,15.6,33.9
6/2/18,12:00 AM,16.1,18.5,34.8
6/3/18,12:00 AM,17.9,15,33.1
6/4/18,12:00 AM,5.4,9.3,14.8
6/5/18,12:00 AM,21.8,18.1,40
6/6/18,12:00 AM,19.7,20.5,40.3
6/7/18,12:00 AM,17.9,19.2,37.2
6/8/18,12:00 AM,20.2,23.9,44.1
6/9/18,12:00 AM,15.8,17.3,33.2
6/10/18,12:00 AM,7.7,9.3,17.1
6/11/18,12:00 AM,36.7,21.6,58.5
6/12/18,12:00 AM,28.1,21.7,49.9
6/13/18,12:00 AM,15.7,14.1,30
6/14/18,12:00 AM,19,15.2,34.2
6/15/18,12:00 AM,14.6,11.7,26.3
6/16/18,12:00 AM,4.5,9.9,14.5
6/17/18,12:00 AM,21.6,19.1,40.8
6/18/18,12:00 AM,31.8,25.4,57.2
6/19/18,12:00 AM,41.8,26.8,68.6
6/20/18,12:00 AM,,,
6/21/18,12:00 AM,23.6,14.2,38
6/22/18,12:00 AM,24.5,14,38.6
6/23/18,12:00 AM,11.9,12.9,25
6/24/18,12:00 AM,14.3,11.2,25.6
6/25/18,12:00 AM,17.2,15.4,33.1
6/26/18,12:00 AM,12.8,12.2,25.1
6/27/18,12:00 AM,27.5,17.9,45.5
6/28/18,12:00 AM,26.2,18.9,45.2
6/29/18,12:00 AM,22.3,17.9,40.3
6/30/18,12:00 AM,23.3,17.3,40.7
7/1/18,12:00 AM,9.8,8.5,18.4
7/2/18,12:00 AM,7.8,9.9,17.7
7/3/18,12:00 AM,28.4,19.3,47.8
7/4/18,12:00 AM,14.1,18.6,32.8
7/5/18,12:00 AM,30,20.8,50.8
7/6/18,12:00 AM,25.4,13.7,39.2
7/7/18,12:00 AM,11.8,11.3,23.2
7/8/18,12:00 AM,15.8,15.4,31.3
7/9/18,12:00 AM,28.4,20.1,48.6
7/10/18,12:00 AM,25.4,17.2,42.7
7/11/18,12:00 AM,17.9,14.7,32.6
7/12/18,12:00 AM,30.5,17.9,48.4
7/13/18,12:00 AM,44.1,25.8,70
7/14/18,12:00 AM,28.7,21.9,50.7
7/15/18,12:00 AM,26.1,22.5,48.6
7/16/18,12:00 AM,56.8,35.6,92.5
7/17/18,12:00 AM,33,23.3,56.3
7/18/18,12:00 AM,32.8,15.9,48.8
7/19/18,12:00 AM,30.2,17.6,47.9
7/20/18,12:00 AM,22.5,14.9,37.5
7/21/18,12:00 AM,22.9,13.9,36.9
7/22/18,12:00 AM,14.4,14.6,29.1
7/23/18,12:00 AM,48.8,22.7,71.6
7/24/18,12:00 AM,42.8,25.3,68.2
7/25/18,12:00 AM,58.9,37.5,96.5
7/26/18,12:00 AM,54.1,39.2,93.4
7/27/18,12:00 AM,46.8,29.9,76.8
7/28/18,12:00 AM,31.5,23.2,54.8
7/29/18,12:00 AM,41.1,30.2,71.4
7/30/18,12:00 AM,56.6,38.3,94.9
7/31/18,12:00 AM,23.1,14.2,37.5
8/1/18,12:00 AM,30.5,15.2,45.8
8/2/18,12:00 AM,27,12.2,39.3
8/3/18,12:00 AM,35.1,15.8,51
8/4/18,12:00 AM,22.6,16.1,38.8
8/5/18,12:00 AM,49.9,25,75
8/6/18,12:00 AM,46.6,20.4,67.2
8/7/18,12:00 AM,47.7,26.3,74.2
8/8/18,12:00 AM,73.8,40.1,114
8/9/18,12:00 AM,38.4,28.6,67.1
8/10/18,12:00 AM,55.9,19.7,75.7
8/11/18,12:00 AM,18.4,12.5,31
8/12/18,12:00 AM,21.4,14.8,36.2
8/13/18,12:00 AM,16,14.3,30.4
8/14/18,12:00 AM,,,
8/15/18,12:00 AM,87.2,50.2,137.5
8/16/18,12:00 AM,45.5,25.5,71.1
8/17/18,12:00 AM,39.5,27.6,67.2
8/18/18,12:00 AM,39.5,28.5,68.1
8/19/18,12:00 AM,36.3,29.5,65.9
8/20/18,12:00 AM,37.1,26.2,63.5
8/21/18,12:00 AM,91.1,57.3,148.5
8/22/18,12:00 AM,70.7,59.2,129.9
8/23/18,12:00 AM,23.7,16.3,40.1
8/24/18,12:00 AM,25.1,19.7,44.9
8/25/18,12:00 AM,16.3,16.9,33.3
8/26/18,12:00 AM,13.7,14.5,28.3
8/27/18,12:00 AM,17.2,19,36.3
8/28/18,12:00 AM,,,
8/29/18,12:00 AM,35.2,19.8,55
8/30/18,12:00 AM,35.7,17,52.8
8/31/18,12:00 AM,21.9,14.3,36.7
9/1/18,12:00 AM,17,12.5,30
9/2/18,12:00 AM,15.1,13.4,28.6
9/3/18,12:00 AM,13.3,10.8,24.2
9/4/18,12:00 AM,,,
9/5/18,12:00 AM,23.9,26.2,50.2
9/6/18,12:00 AM,67.1,42.5,109.7
9/7/18,12:00 AM,27.4,19.4,46.9
9/8/18,12:00 AM,16.6,13.8,30.5
9/9/18,12:00 AM,9.5,11.1,20.7
9/10/18,12:00 AM,,,
9/11/18,12:00 AM,27.2,18.9,46.3
9/12/18,12:00 AM,30.7,20.8,51.7
9/13/18,12:00 AM,31.8,22.3,54.2
9/14/18,12:00 AM,28.2,19.4,47.7
9/15/18,12:00 AM,9.9,12.6,22.6
9/16/18,12:00 AM,8.2,11.2,19.5
9/17/18,12:00 AM,8.8,12.1,21
9/18/18,12:00 AM,12,15.9,27.9
9/19/18,12:00 AM,37.3,19.9,57.3
9/20/18,12:00 AM,15.3,13.4,28.8
9/21/18,12:00 AM,23,17.6,40.8
9/22/18,12:00 AM,10.2,10,20.3
9/23/18,12:00 AM,16.6,15.1,31.8
9/24/18,12:00 AM,30,16.9,46.9
9/25/18,12:00 AM,11.1,12.7,23.9
9/26/18,12:00 AM,14.1,14.9,29.2
9/27/18,12:00 AM,11.9,14.5,26.5
9/28/18,12:00 AM,13.4,17.2,30.7
9/29/18,12:00 AM,31.1,21,52.1
9/30/18,12:00 AM,14.7,13.4,28.3
10/1/18,12:00 AM,14.5,17,31.7
10/2/18,12:00 AM,17.3,15.6,33
10/3/18,12:00 AM,19.6,14.2,34
10/4/18,12:00 AM,25.7,20.1,45.9
10/5/18,12:00 AM,13.6,15.8,29.5
10/6/18,12:00 AM,5.9,10.5,16.5
10/7/18,12:00 AM,15.7,14.7,30.5
10/8/18,12:00 AM,59.3,23.1,82.5
10/9/18,12:00 AM,21,14.7,35.9
10/10/18,12:00 AM,58.1,19.6,77.7
10/11/18,12:00 AM,38.4,18.1,56.7
10/12/18,12:00 AM,38.4,17,55.4
10/13/18,12:00 AM,4.6,11.2,15.9
10/14/18,12:00 AM,9.1,14.5,23.7
10/15/18,12:00 AM,18.9,19.4,38.5
10/16/18,12:00 AM,53.1,24.3,77.5
10/17/18,12:00 AM,108.9,35.5,144.8
10/18/18,12:00 AM,83.2,33.7,117.3
10/19/18,12:00 AM,77.1,28.5,105.8
10/20/18,12:00 AM,4.8,14.8,19.7
10/21/18,12:00 AM,39.7,18.6,58.4
10/22/18,12:00 AM,86.3,26,112.4
10/23/18,12:00 AM,47.7,21.7,69.4
10/24/18,12:00 AM,37.6,26,64.3
10/25/18,12:00 AM,21.9,23.6,45.6
10/26/18,12:00 AM,16.5,18.1,34.7
10/27/18,12:00 AM,25.8,18.1,44
10/28/18,12:00 AM,6.3,12.2,18.5
10/29/18,12:00 AM,23.3,22.4,45.8
10/30/18,12:00 AM,28.5,22.6,51.2
10/31/18,12:00 AM,29.8,21.7,51.5
11/1/18,12:00 AM,17.5,17.1,34.7
11/2/18,12:00 AM,21,21.2,42.3
11/3/18,12:00 AM,9.6,14.7,24.4
11/4/18,12:00 AM,7.4,12.6,20.1
11/5/18,12:00 AM,29.2,27.2,56.5
11/6/18,12:00 AM,23.1,21,44.2
11/7/18,12:00 AM,11.2,16.2,27.5
11/8/18,12:00 AM,50.7,19.6,70.5
11/9/18,12:00 AM,63.8,20.1,83.9
11/10/18,12:00 AM,17.3,15,32.4
11/11/18,12:00 AM,10.2,11.7,22
11/12/18,12:00 AM,80,30.7,110.8
11/13/18,12:00 AM,43.2,27.7,71
11/14/18,12:00 AM,33.6,30.1,63.7
11/15/18,12:00 AM,28.9,22.8,51.8
11/16/18,12:00 AM,13.9,14.6,28.6
11/17/18,12:00 AM,4.7,11.2,16
11/18/18,12:00 AM,24.8,19.6,44.6
11/19/18,12:00 AM,128.3,27.3,155.7
11/20/18,12:00 AM,171.5,28.5,200.1
11/21/18,12:00 AM,88.4,33.9,122.3
11/22/18,12:00 AM,8.9,12.5,21.6
11/23/18,12:00 AM,7.4,14.1,21.6
11/24/18,12:00 AM,22.9,20.9,43.8
11/25/18,12:00 AM,47.4,19.9,67.3
11/26/18,12:00 AM,43.2,21.2,64.5
11/27/18,12:00 AM,14.6,20.9,35.6
11/28/18,12:00 AM,24.1,23.4,47.5
11/29/18,12:00 AM,10.7,17.5,28.2
11/30/18,12:00 AM,29.9,20.5,50.4
12/1/18,12:00 AM,18.8,22.7,41.5
12/2/18,12:00 AM,11,17.2,28.3
12/3/18,12:00 AM,7.8,11.5,19.4
12/4/18,12:00 AM,9.2,17.8,27.2
12/5/18,12:00 AM,11.4,19.4,30.9
12/6/18,12:00 AM,37.1,28.9,66.1
12/7/18,12:00 AM,36.5,27.5,64.1
12/8/18,12:00 AM,28.4,21.8,50.3
12/9/18,12:00 AM,8.7,14.3,23.1
12/10/18,12:00 AM,21.5,21.4,43
12/11/18,12:00 AM,15.8,20.3,36.2
12/12/18,12:00 AM,18.8,22.4,41.2
12/13/18,12:00 AM,29.6,28.2,58
12/14/18,12:00 AM,65.4,26,91.5
12/15/18,12:00 AM,9.5,13.8,23.3
12/16/18,12:00 AM,12.9,17.3,30.4
12/17/18,12:00 AM,14.8,19.3,34.2
12/18/18,12:00 AM,16.9,23,40.1
12/19/18,12:00 AM,34.6,28.9,63.6
12/20/18,12:00 AM,13.9,18.4,32.3
12/21/18,12:00 AM,20,24.3,44.3
12/22/18,12:00 AM,23,21.3,44.4
12/23/18,12:00 AM,6.2,13.8,20.1
12/24/18,12:00 AM,3.6,10.7,14.4
12/25/18,12:00 AM,11,15.1,26.2
12/26/18,12:00 AM,13.1,15.2,28.3
12/27/18,12:00 AM,38.9,24.2,63.2
12/28/18,12:00 AM,12.3,17.2,29.6
12/29/18,12:00 AM,6.4,10.4,16.9
12/30/18,12:00 AM,6.1,13.9,20.1
12/31/18,12:00 AM,11.2,14.9,26.2
1/1/19,12:00 AM,42.1,19.8,62.1
1/2/19,12:00 AM,36.5,21.6,58.2
1/3/19,12:00 AM,53.5,27.9,81.5
1/4/19,12:00 AM,13.1,17.7,30.9
1/5/19,12:00 AM,46.2,25.1,71.5
1/6/19,12:00 AM,11.6,14.8,26.5
1/7/19,12:00 AM,26.3,23.9,50.3
1/8/19,12:00 AM,46,30.9,77
1/9/19,12:00 AM,22.9,23.8,46.8
1/10/19,12:00 AM,12.4,20.2,32.6
1/11/19,12:00 AM,113.1,32.2,145.4
1/12/19,12:00 AM,99.8,29.3,129.1
1/13/19,12:00 AM,59.2,27.3,86.6
1/14/19,12:00 AM,71.6,26.4,98
1/15/19,12:00 AM,218.1,41.1,259.3
1/16/19,12:00 AM,139.1,33.8,173
1/17/19,12:00 AM,39.3,23.4,62.8
1/18/19,12:00 AM,18.5,21.6,40.2
1/19/19,12:00 AM,10.6,15.4,26.1
1/20/19,12:00 AM,9.4,16.6,26.1
1/21/19,12:00 AM,63.2,24,87.3
1/22/19,12:00 AM,14.5,19.8,34.4
1/23/19,12:00 AM,18.4,18.2,36.7
1/24/19,12:00 AM,45.8,23.1,68.9
1/25/19,12:00 AM,24.9,18.8,43.9
1/26/19,12:00 AM,12.3,15.1,27.5
1/27/19,12:00 AM,6,12,18.1
1/28/19,12:00 AM,15.6,16.2,31.9
1/29/19,12:00 AM,32.8,27.7,60.6
1/30/19,12:00 AM,86.5,32.5,119.1
1/31/19,12:00 AM,67.2,27.9,95.2
2/1/19,12:00 AM,33.6,24,57.7
2/2/19,12:00 AM,9.7,16.8,26.7
2/3/19,12:00 AM,4.7,10.2,14.9
2/4/19,12:00 AM,1.8,6.1,7.9
2/5/19,12:00 AM,30.6,24.4,55.2
2/6/19,12:00 AM,33.6,28.8,62.5
2/7/19,12:00 AM,28.6,27.1,55.8
2/8/19,12:00 AM,20.4,24.5,44.9
2/9/19,12:00 AM,2.4,9,11.5
2/10/19,12:00 AM,7.5,15.4,23
2/11/19,12:00 AM,3.5,11.6,15.2
2/12/19,12:00 AM,4,13.6,17.8
2/13/19,12:00 AM,15.9,21.5,37.4
2/14/19,12:00 AM,50.4,33.9,84.4
2/15/19,12:00 AM,27.4,27.2,54.8
2/16/19,12:00 AM,20.3,21.2,41.5
2/17/19,12:00 AM,17.1,21.2,38.4
2/18/19,12:00 AM,13.9,18.4,32.5
2/19/19,12:00 AM,32.6,26.3,59
