Report Type : StationReport,,,,
2/20/19,12:00 AM,10.3,14.7,25.1
2/21/19,12:00 AM,27.6,21.7,49.4
2/22/19,12:00 AM,20.4,21.6,42.1
2/23/19,12:00 AM,12.5,15.8,28.4
2/24/19,12:00 AM,3,10.6,13.7
2/25/19,12:00 AM,7.4,12.4,19.9
2/26/19,12:00 AM,3.1,9.6,12.8
2/27/19,12:00 AM,13,18.7,31.8
2/28/19,12:00 AM,28.5,28.5,57.1
3/1/19,12:00 AM,9.2,19.1,28.4
3/2/19,12:00 AM,3.8,12.1,16
3/3/19,12:00 AM,1.6,6.6,8.3
3/4/19,12:00 AM,5.3,10.3,15.7
3/5/19,12:00 AM,5.8,14.2,20.1
3/6/19,12:00 AM,12,20.2,32.3
3/7/19,12:00 AM,22.7,23.1,45.9
3/8/19,12:00 AM,41.1,31.4,72.6
3/9/19,12:00 AM,14.2,17.6,31.9
3/10/19,12:00 AM,14.4,23.5,38
3/11/19,12:00 AM,27.3,29.5,56.9
3/12/19,12:00 AM,,,
3/13/19,12:00 AM,30.1,26.3,56.4
3/14/19,12:00 AM,25.5,23.4,49.1
3/15/19,12:00 AM,29.3,24,53.5
3/16/19,12:00 AM,18,21.6,39.7
3/17/19,12:00 AM,6.6,14.9,21.6
3/18/19,12:00 AM,18.2,19.9,38.1
3/19/19,12:00 AM,37.7,25,62.8
3/20/19,12:00 AM,53.6,28.6,82.4
3/21/19,12:00 AM,20.9,23.5,44.5
3/22/19,12:00 AM,33.6,25.9,59.6
3/23/19,12:00 AM,20.4,19.2,39.7
3/24/19,12:00 AM,12.7,17.3,30.1
3/25/19,12:00 AM,28.7,19.7,48.6
3/26/19,12:00 AM,18.9,20.7,39.7
3/27/19,12:00 AM,10.2,15.3,25.6
3/28/19,12:00 AM,28.9,28.5,57.5
3/29/19,12:00 AM,36.8,31.3,68.2
3/30/19,12:00 AM,11.7,17.7,29.5
3/31/19,12:00 AM,12.8,17.1,30
4/1/19,12:00 AM,10.8,16.6,27.5
4/2/19,12:00 AM,19.4,22,41.5
4/3/19,12:00 AM,14.7,15,29.8
4/4/19,12:00 AM,28.1,25.5,53.7
4/5/19,12:00 AM,8.8,13,21.9
4/6/19,12:00 AM,7.8,13,20.9
4/7/19,12:00 AM,6.8,12.2,19.1
4/8/19,12:00 AM,27.4,20.8,48.3
4/9/19,12:00 AM,11.1,13.1,24.2
4/10/19,12:00 AM,15.3,17,32.4
4/11/19,12:00 AM,12.8,16.8,29.7
4/12/19,12:00 AM,17.2,18,35.3
4/13/19,12:00 AM,7.1,10.6,17.8
4/14/19,12:00 AM,6.4,9.5,16
4/15/19,12:00 AM,15.1,19.6,34.8
4/16/19,12:00 AM,18.8,19.6,38.6
4/17/19,12:00 AM,16,16.7,32.8
4/18/19,12:00 AM,15.6,15.2,30.9
4/19/19,12:00 AM,15.3,15.6,31
4/20/19,12:00 AM,7.8,13.3,21.2
4/21/19,12:00 AM,8,14,22
4/22/19,12:00 AM,16.1,18.7,34.9
4/23/19,12:00 AM,19.2,14.8,34.1
4/24/19,12:00 AM,17,15.8,32.9
4/25/19,12:00 AM,12.7,15.8,28.6
4/26/19,12:00 AM,17.4,16.7,34.1
4/27/19,12:00 AM,6.2,9.4,15.7
4/28/19,12:00 AM,6.7,9.9,16.7
4/29/19,12:00 AM,8.9,9.8,18.7
4/30/19,12:00 AM,11.9,15.2,27.1
5/1/19,12:00 AM,13.9,16.3,30.3
5/2/19,12:00 AM,15.9,17.5,33.4
5/3/19,12:00 AM,27.2,21.8,49.1
5/4/19,12:00 AM,14.1,16,30.2
5/5/19,12:00 AM,10.7,13.7,24.5
5/6/19,12:00 AM,24.3,19.6,43.9
5/7/19,12:00 AM,29.3,20.2,49.6
5/8/19,12:00 AM,33.1,21.9,55.1
5/9/19,12:00 AM,16.1,17.6,33.7
5/10/19,12:00 AM,52.3,36.1,88.4
5/11/19,12:00 AM,42.5,30.8,73.4
5/12/19,12:00 AM,13.2,15.1,28.5
5/13/19,12:00 AM,21,22.2,43.3
5/14/19,12:00 AM,18.3,19.3,37.7
5/15/19,12:00 AM,22.9,23,45.9
5/16/19,12:00 AM,33.6,21.2,55
5/17/19,12:00 AM,18.2,16.4,34.8
5/18/19,12:00 AM,17.5,16.5,34.1
5/19/19,12:00 AM,13.7,18.6,32.3
5/20/19,12:00 AM,13.5,16.1,29.7
5/21/19,12:00 AM,8.3,12.9,21.3
5/22/19,12:00 AM,35.2,22.7,58
5/23/19,12:00 AM,42.7,29.3,72.1
5/24/19,12:00 AM,16.1,15.4,31.6
5/25/19,12:00 AM,11.2,13.3,24.6
5/26/19,12:00 AM,22.6,15.5,38.2
5/27/19,12:00 AM,23.9,15.7,39.7
5/28/19,12:00 AM,22,18.8,40.8
5/29/19,12:00 AM,33,24.7,57.8
5/30/19,12:00 AM,50.3,29,79.4
5/31/19,12:00 AM,53.1,29.4,82.6
6/1/19,12:00 AM,25.8,17.6,43.5
6/2/19,12:00 AM,14.7,14.2,29
6/3/19,12:00 AM,,,
6/4/19,12:00 AM,18,18.7,36.8
6/5/19,12:00 AM,22,17.5,39.6
6/6/19,12:00 AM,18.8,16,34.9
6/7/19,12:00 AM,19.5,15.5,35.2
6/8/19,12:00 AM,11.6,10.1,21.8
6/9/19,12:00 AM,8.3,9.1,17.5
6/10/19,12:00 AM,15.6,11.2,26.9
6/11/19,12:00 AM,11.2,13.8,25.1
6/12/19,12:00 AM,43.9,36.1,80
6/13/19,12:00 AM,21.5,18.6,40.2
6/14/19,12:00 AM,24.4,16.2,40.7
6/15/19,12:00 AM,26.2,19.4,45.7
6/16/19,12:00 AM,16.6,12.5,29.2
6/17/19,12:00 AM,34.5,20.3,54.9
6/18/19,12:00 AM,14.6,10.1,24.8
6/19/19,12:00 AM,12.2,10.7,22.9
6/20/19,12:00 AM,19.8,13.2,33.1
6/21/19,12:00 AM,19.7,13.9,33.7
6/22/19,12:00 AM,14.5,11.7,26.3
6/23/19,12:00 AM,6.8,8.6,15.5
6/24/19,12:00 AM,13.6,12.5,26.1
6/25/19,12:00 AM,22.9,17.3,40.2
6/26/19,12:00 AM,22,18.7,40.7
6/27/19,12:00 AM,16.4,15,31.5
6/28/19,12:00 AM,19.5,16,35.6
6/29/19,12:00 AM,17.8,13.5,31.4
6/30/19,12:00 AM,16,13,29.2
7/1/19,12:00 AM,35,20.6,55.6
7/2/19,12:00 AM,28.8,20,49
7/3/19,12:00 AM,44.7,20.2,65
7/4/19,12:00 AM,18.2,16.8,35.1
7/5/19,12:00 AM,21.3,14.8,36.3
7/6/19,12:00 AM,16.3,12,28.4
7/7/19,12:00 AM,8,9.6,17.7
7/8/19,12:00 AM,41.7,23,64.8
7/9/19,12:00 AM,43.5,23.8,67.4
7/10/19,12:00 AM,26.3,13.7,40.1
7/11/19,12:00 AM,34.5,19.6,54.1
7/12/19,12:00 AM,38.4,16.6,55.1
7/13/19,12:00 AM,18.1,10.3,28.5
7/14/19,12:00 AM,14.9,12.1,27.1
7/15/19,12:00 AM,27,18.5,45.6
7/16/19,12:00 AM,47.3,22,69.4
7/17/19,12:00 AM,17.4,11.7,29.2
7/18/19,12:00 AM,8,8.4,16.4
7/19/19,12:00 AM,17.8,11.3,29.2
7/20/19,12:00 AM,10.9,12.2,23.1
7/21/19,12:00 AM,19.7,19.3,39.1
7/22/19,12:00 AM,21.1,15.1,36.2
7/23/19,12:00 AM,24.6,12.9,37.6
7/24/19,12:00 AM,17.1,13.5,30.6
7/25/19,12:00 AM,18.2,13.5,31.9
7/26/19,12:00 AM,36.2,15.1,51.4
7/27/19,12:00 AM,8.1,7.5,15.6
7/28/19,12:00 AM,6.5,7.5,14.1
7/29/19,12:00 AM,39,20.1,59.2
7/30/19,12:00 AM,23.7,19.4,43.2
7/31/19,12:00 AM,32.1,22.3,54.5
8/1/19,12:00 AM,16.1,13,29.2
8/2/19,12:00 AM,18.7,12.9,31.7
8/3/19,12:00 AM,6.1,10.1,16.4
8/4/19,12:00 AM,14,16.5,30.6
8/5/19,12:00 AM,36.1,29.9,66.1
8/6/19,12:00 AM,35.3,24.9,60.2
8/7/19,12:00 AM,33.9,19.1,53
8/8/19,12:00 AM,22.9,19.3,42.3
8/9/19,12:00 AM,29.4,21.9,51.4
8/10/19,12:00 AM,28.1,17.9,46.1
8/11/19,12:00 AM,8.4,9.2,17.8
8/12/19,12:00 AM,21.7,17.5,39.3
8/13/19,12:00 AM,37.1,17.3,54.4
8/14/19,12:00 AM,27.7,22,49.8
8/15/19,12:00 AM,33.4,17.3,50.8
8/16/19,12:00 AM,19.8,15.4,35.3
8/17/19,12:00 AM,18.6,14.9,33.6
8/18/19,12:00 AM,13.8,12.6,26.5
8/19/19,12:00 AM,15.5,12.4,28
8/20/19,12:00 AM,36.1,22.1,58.2
8/21/19,12:00 AM,20.4,16.9,37.4
8/22/19,12:00 AM,35.5,22.7,58.4
8/23/19,12:00 AM,26.9,18.8,45.8
8/24/19,12:00 AM,13.6,10.1,23.8
8/25/19,12:00 AM,11.3,12.4,23.8
8/26/19,12:00 AM,8.7,10.5,19.2
8/27/19,12:00 AM,9.1,12.8,22
8/28/19,12:00 AM,29.4,22,51.5
8/29/19,12:00 AM,24.7,21.5,46.3
8/30/19,12:00 AM,17.6,17.8,35.5
8/31/19,12:00 AM,25.1,18.5,43.7
9/1/19,12:00 AM,8.4,11.2,19.7
9/2/19,12:00 AM,16.1,14.5,30.7
9/3/19,12:00 AM,46.2,25.4,71.7
9/4/19,12:00 AM,28.2,18.3,46.6
9/5/19,12:00 AM,20.1,20.2,40.4
9/6/19,12:00 AM,32.7,21.6,54.4
9/7/19,12:00 AM,30.7,17.9,48.7
9/8/19,12:00 AM,10,10.1,20.2
9/9/19,12:00 AM,21.2,17,38.4
9/10/19,12:00 AM,34,19.8,53.5
9/11/19,12:00 AM,29.3,20.2,49
9/12/19,12:00 AM,17.7,15.2,33.1
9/13/19,12:00 AM,16.4,14,30.5
9/14/19,12:00 AM,9.7,12.6,22.3
9/15/19,12:00 AM,5.9,9.3,15.3
9/16/19,12:00 AM,27.3,15.3,42.7
9/17/19,12:00 AM,7.7,10.2,18
9/18/19,12:00 AM,,,
9/19/19,12:00 AM,54.4,22.4,76.9
9/20/19,12:00 AM,31,17.5,48.6
9/21/19,12:00 AM,21,14.1,35.3
9/22/19,12:00 AM,11.1,11.1,22.3
9/23/19,12:00 AM,15,15,30.2
9/24/19,12:00 AM,22,15.9,37.9
9/25/19,12:00 AM,23,17.3,40.4
9/26/19,12:00 AM,23.3,18.2,41.7
9/27/19,12:00 AM,15.6,13.2,28.8
9/28/19,12:00 AM,5.3,7.6,13
9/29/19,12:00 AM,5.7,9.4,15.2
9/30/19,12:00 AM,10.1,12,22.1
10/1/19,12:00 AM,23.9,18,42
10/2/19,12:00 AM,42.1,24.8,67
10/3/19,12:00 AM,,,
10/4/19,12:00 AM,12.7,15.5,28.3
10/5/19,12:00 AM,16,15.9,32.1
10/6/19,12:00 AM,,,
10/7/19,12:00 AM,,,
10/8/19,12:00 AM,13.5,13.8,27.4
10/9/19,12:00 AM,11.1,12.6,23.8
10/10/19,12:00 AM,12.3,13.7,26.1
10/11/19,12:00 AM,37.5,26.7,64.3
10/12/19,12:00 AM,23.2,21.3,44.6
10/13/19,12:00 AM,16.4,19.5,36
10/14/19,12:00 AM,27.6,25,52.7
10/15/19,12:00 AM,39.3,22.8,62.2
10/16/19,12:00 AM,33.6,24.5,58.2
10/17/19,12:00 AM,13.4,16.8,30.4
10/18/19,12:00 AM,15.8,19.4,35.2
10/19/19,12:00 AM,5.6,12.2,17.9
10/20/19,12:00 AM,5.7,11.3,17.1
10/21/19,12:00 AM,15.3,18,33.4
10/22/19,12:00 AM,5.5,13.6,19.2
10/23/19,12:00 AM,11.1,14.5,25.7
10/24/19,12:00 AM,66.6,21.6,88.3
10/25/19,12:00 AM,32.2,18.4,50.6
10/26/19,12:00 AM,16.3,13.6,29.9
10/27/19,12:00 AM,9,11.6,20.8
10/28/19,12:00 AM,24.2,16.2,40.5
10/29/19,12:00 AM,11.7,18.2,30
10/30/19,12:00 AM,12.2,19.3,31.6
10/31/19,12:00 AM,42,27.6,69.7
11/1/19,12:00 AM,14.7,18.7,33.5
11/2/19,12:00 AM,19.2,19.9,39.2
11/3/19,12:00 AM,15.8,15.7,31.6
11/4/19,12:00 AM,17.7,17,34.8
11/5/19,12:00 AM,20.4,14.7,35.1
11/6/19,12:00 AM,15.5,15.1,30.7
11/7/19,12:00 AM,65.5,20.7,86.3
11/8/19,12:00 AM,63,21.3,84.5
11/9/19,12:00 AM,6.4,14.5,20.9
11/10/19,12:00 AM,10.4,12.9,23.4
11/11/19,12:00 AM,48.3,18.8,67.2
11/12/19,12:00 AM,27.7,18.1,45.9
11/13/19,12:00 AM,14.4,14.1,28.6
11/14/19,12:00 AM,61.2,21.2,82.6
11/15/19,12:00 AM,20.9,20.1,41.1
11/16/19,12:00 AM,14,16.8,30.9
11/17/19,12:00 AM,10.3,14.2,24.6
11/18/19,12:00 AM,17,15.9,33
11/19/19,12:00 AM,9.2,16.6,25.9
11/20/19,12:00 AM,7.5,14.3,21.9
11/21/19,12:00 AM,67.4,19.3,86.8
11/22/19,12:00 AM,72.7,20.4,93.2
11/23/19,12:00 AM,34.8,15,49.9
11/24/19,12:00 AM,8.5,15.8,24.4
11/25/19,12:00 AM,7.3,17.1,24.5
11/26/19,12:00 AM,4.4,11.9,16.5
11/27/19,12:00 AM,4.5,12.1,16.8
11/28/19,12:00 AM,2.2,10,12.3
11/29/19,12:00 AM,10.2,16.6,26.9
11/30/19,12:00 AM,19.5,16.2,35.8
12/1/19,12:00 AM,14.2,18.3,32.6
12/2/19,12:00 AM,71,27.3,98.4
12/3/19,12:00 AM,30.1,22.5,52.7
12/4/19,12:00 AM,28.6,19.5,48.1
12/5/19,12:00 AM,44.7,17.5,62.3
12/6/19,12:00 AM,76.9,21.4,98.4
12/7/19,12:00 AM,13.2,15.1,28.4
12/8/19,12:00 AM,10.3,13.3,23.7
12/9/19,12:00 AM,6.8,13,19.9
12/10/19,12:00 AM,21.6,16.3,38
12/11/19,12:00 AM,16.9,18.2,35.2
12/12/19,12:00 AM,16.2,21.3,37.6
12/13/19,12:00 AM,24.7,24.2,49
12/14/19,12:00 AM,11.3,19.4,30.8
12/15/19,12:00 AM,11.4,18.7,30.2
12/16/19,12:00 AM,20.8,22.3,43.2
12/17/19,12:00 AM,91.3,31.3,122.7
12/18/19,12:00 AM,81.3,29.3,110.7
12/19/19,12:00 AM,10.4,17.5,28
12/20/19,12:00 AM,29.3,32.5,61.9
12/21/19,12:00 AM,2.8,12.4,15.2
12/22/19,12:00 AM,3,12.1,15.2
12/23/19,12:00 AM,9.8,17.8,27.8
12/24/19,12:00 AM,31.1,21.6,52.8
12/25/19,12:00 AM,8.9,14.3,23.4
12/26/19,12:00 AM,35.6,18.5,54.2
12/27/19,12:00 AM,28.2,20,48.3
12/28/19,12:00 AM,25.4,18.5,44
12/29/19,12:00 AM,24.5,16.9,41.5
12/30/19,12:00 AM,11.1,14.5,25.7
12/31/19,12:00 AM,14,15.3,29.4
1/1/20,12:00 AM,6.8,14.1,21
1/2/20,12:00 AM,13.2,18.3,31.6
1/3/20,12:00 AM,34.3,23.1,57.5
1/4/20,12:00 AM,6.9,12.2,19.2
1/5/20,12:00 AM,5.1,9.5,14.6
1/6/20,12:00 AM,,,
1/7/20,12:00 AM,12.2,16.6,28.8
1/8/20,12:00 AM,23,24.3,47.4
1/9/20,12:00 AM,13.8,21.6,35.4
1/10/20,12:00 AM,5.9,13.7,19.7
1/11/20,12:00 AM,11.9,16.7,28.7
1/12/20,12:00 AM,5.9,10.7,16.7
1/13/20,12:00 AM,18.1,19,37.2
1/14/20,12:00 AM,4.6,12.5,17.2
1/15/20,12:00 AM,3.1,8.6,11.8
1/16/20,12:00 AM,11.8,17.7,29.6
1/17/20,12:00 AM,15.2,20.4,35.7
1/18/20,12:00 AM,7.1,11.9,19.1
1/19/20,12:00 AM,29,22.6,51.8
1/20/20,12:00 AM,,,
1/21/20,12:00 AM,13.2,21.3,34.6
1/22/20,12:00 AM,9.3,19.6,29.1
1/23/20,12:00 AM,15,20.1,35.2
1/24/20,12:00 AM,17.1,22.5,39.7
1/25/20,12:00 AM,10.2,16.7,27
1/26/20,12:00 AM,5.7,10.9,16.8
1/27/20,12:00 AM,10.8,17.5,28.4
1/28/20,12:00 AM,18.2,21.1,39.4
1/29/20,12:00 AM,14.8,20.8,35.7
1/30/20,12:00 AM,21,18.4,39.4
1/31/20,12:00 AM,13.7,15.7,29.5
2/1/20,12:00 AM,4.6,9,13.7
2/2/20,12:00 AM,8.5,15.6,24.2
2/3/20,12:00 AM,8.9,16.4,25.4
2/4/20,12:00 AM,12.6,20.5,33.3
2/5/20,12:00 AM,29.9,28.5,58.6
2/6/20,12:00 AM,24.9,24.7,49.6
2/7/20,12:00 AM,14.4,17.6,32.1
2/8/20,12:00 AM,5.9,10.4,16.4
2/9/20,12:00 AM,12.5,17.1,29.7
2/10/20,12:00 AM,24.7,19.8,44.7
2/11/20,12:00 AM,18,19.2,37.3
2/12/20,12:00 AM,31.8,25.2,57.1
2/13/20,12:00 AM,23.2,18.6,41.9
2/14/20,12:00 AM,19,18.3,37.5
2/15/20,12:00 AM,6.8,11,17.9
2/16/20,12:00 AM,7.2,12.2,19.5
2/17/20,12:00 AM,16.4,17.8,34.3
2/18/20,12:00 AM,8.6,15.7,24.4
2/19/20,12:00 AM,29,27.4,56.4
2/20/20,12:00 AM,72.5,38.4,111.1
2/21/20,12:00 AM,40.4,28.6,69.1
2/22/20,12:00 AM,14.4,18.9,33.5
2/23/20,12:00 AM,5.1,9.7,14.9
2/24/20,12:00 AM,15.3,18.4,33.8
2/25/20,12:00 AM,30.9,28,59
2/26/20,12:00 AM,28.7,24.3,53.1
2/27/20,12:00 AM,27.1,21,48.2
2/28/20,12:00 AM,23.1,17.3,40.5
2/29/20,12:00 AM,7.7,11.9,19.8
3/1/20,12:00 AM,12.4,17,29.5
3/2/20,12:00 AM,13.5,17.3,30.9
3/3/20,12:00 AM,18.9,15.9,34.9
3/4/20,12:00 AM,12.5,20.4,33
3/5/20,12:00 AM,21.6,20.3,42
3/6/20,12:00 AM,18.4,23.8,42.3
3/7/20,12:00 AM,12,17.2,29.3
3/8/20,12:00 AM,6.2,14.2,20.6
3/9/20,12:00 AM,19.6,21.1,40.8
3/10/20,12:00 AM,17.7,19.8,37.6
3/11/20,12:00 AM,12,15.6,27.8
3/12/20,12:00 AM,20,20.1,40.2
3/13/20,12:00 AM,5.3,11.3,16.7
3/14/20,12:00 AM,4.8,7.8,12.7
3/15/20,12:00 AM,3.6,8,11.6
3/16/20,12:00 AM,,,
3/17/20,12:00 AM,39.1,27.9,67.1
3/18/20,12:00 AM,31.7,27.2,59
3/19/20,12:00 AM,34.8,29.9,64.9
3/20/20,12:00 AM,29,23.3,52.4
3/21/20,12:00 AM,20,23.5,43.5
3/22/20,12:00 AM,9.3,13.6,23
3/23/20,12:00 AM,12.2,15.8,28
3/24/20,12:00 AM,14.5,15.7,30.3
3/25/20,12:00 AM,16.3,18.5,34.9
3/26/20,12:00 AM,12,16.3,28.4
3/27/20,12:00 AM,9.1,15.2,24.4
3/28/20,12:00 AM,3.1,7.8,11
3/29/20,12:00 AM,3.8,7.9,11.8
3/30/20,12:00 AM,9.3,13.6,23
3/31/20,12:00 AM,12.5,14.2,26.8
4/1/20,12:00 AM,11.1,14.6,25.9
4/2/20,12:00 AM,9.3,13.3,22.7
4/3/20,12:00 AM,8,10.2,18.4
4/4/20,12:00 AM,4.3,9.3,13.8
4/5/20,12:00 AM,2.7,6.7,9.5
4/6/20,12:00 AM,,,
Minimum,,1.6,6.1,7.9
MinDate,,3-Mar,4-Feb,4-Feb
MinTime,,12:00,12:00,12:00
Maximum,,218.1,59.2,259.3
MaxDate,,15-Jan,22-Aug,15-Jan
MaxTime,,12:00,12:00,12:00
Avg,,23.4,18.8,42.3
Num,,804,804,804
Data[%],,97,97,97
STD,,19.4,6.4,24.4